dataset_id,var1,var2,family,rotation,parameters,npars,model_tau,empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,loglik,aic,bic,n_obs,selection_criterion,model_file,status,error
sachs,PIP3,Erk,indep,0,[],0.0,0.0,-0.015331680167105746,-0.02268999489198861,0.046893317702227426,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__Erk.json,ok,
sachs,PIP3,Akt,indep,0,[],0.0,0.0,-0.010614698068733717,-0.015355287963706528,0.046893317702227426,0.023446658851113713,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__Akt.json,ok,
sachs,PIP3,PKA,indep,0,[],0.0,0.0,0.017674885342644688,0.025207397607686585,0.09378663540445485,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__PKA.json,ok,
sachs,PIP3,PKC,indep,0,[],0.0,0.0,0.00892483615274064,0.012947868470245335,0.07033997655334115,0.09378663540445485,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__PKC.json,ok,
sachs,PIP3,P38,indep,0,[],0.0,0.0,-0.013130389970659111,-0.02013662777812414,0.11723329425556858,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__P38.json,ok,
sachs,PIP3,Jnk,indep,0,[],0.0,0.0,-0.004455615826721856,-0.00647272730859717,0.07033997655334115,0.11723329425556858,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\PIP3__Jnk.json,ok,
sachs,Erk,Akt,gumbel,0,[[2.7582600448789916]],1.0,0.6374526028259706,0.6314174590847679,0.8081989982649379,0.25791324736225085,0.7502930832356388,539.7421894649849,-1077.4843789299698,-1072.735619382478,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Erk__Akt.json,ok,
sachs,Erk,PKA,clayton,180,[[0.3868605056914555]],1.0,0.16207922698833419,0.0730864599516714,0.12645165386985857,0.2813599062133646,0.42203985932004684,43.9203102002992,-85.8406204005984,-81.09186085310672,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Erk__PKA.json,ok,
sachs,Erk,PKC,indep,0,[],0.0,0.0,0.002988029931036041,0.004290535829564473,0.07033997655334115,0.07033997655334115,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Erk__PKC.json,ok,
sachs,Erk,P38,indep,0,[],0.0,0.0,-0.02340741797529005,-0.03417631528516393,0.07033997655334115,0.046893317702227426,0.0,0.0,0.0,853,bic,D:\Python Projects\TUD\copula_sachs_generator\artifacts\libraries\sachs\paircopula_models\Erk__P38.json,ok,
