var1,var2,family,empirical_kendall_tau,abs_empirical_kendall_tau,empirical_spearman_rho,empirical_lower_tail_q05,empirical_upper_tail_q05,aic,bic
PIP3,Akt,indep,-0.0106146980687337,0.0106146980687337,-0.0153552879637065,0.0468933177022274,0.0234466588511137,0.0,0.0
PKA,Jnk,indep,-0.0102414967904322,0.0102414967904322,-0.0152051967072208,0.0937866354044548,0.0234466588511137,0.0,0.0
PIP2,PKA,indep,0.0092755580595798,0.0092755580595798,0.0148749391348658,0.0468933177022274,0.0234466588511137,0.0,0.0
Raf,Plcg,indep,0.009250389640321,0.009250389640321,0.013247779316672,0.0234466588511137,0.1406799531066823,0.0,0.0
PIP3,PKC,indep,0.0089248361527406,0.0089248361527406,0.0129478684702453,0.0703399765533411,0.0937866354044548,0.0,0.0
Akt,Jnk,indep,-0.0086316337321271,0.0086316337321271,-0.0127000944292167,0.0468933177022274,0.0468933177022274,0.0,0.0
Plcg,PKC,indep,-0.0086132948593465,0.0086132948593465,-0.0136346773341446,0.0234466588511137,0.0937866354044548,0.0,0.0
Raf,PKA,indep,0.0074954314075827,0.0074954314075827,0.0102982269636638,0.0468933177022274,0.0703399765533411,0.0,0.0
Raf,PIP2,indep,-0.0067159159736289,0.0067159159736289,-0.0097358576799233,0.0234466588511137,0.2110199296600234,0.0,0.0
PIP2,Akt,indep,0.0066168045245496,0.0066168045245496,0.0081127353814595,0.0,0.0,0.0,0.0
Mek,Jnk,indep,-0.0066093093182234,0.0066093093182234,-0.0095385011023772,0.0234466588511137,0.0703399765533411,0.0,0.0
Raf,Akt,indep,-0.0057357122086588,0.0057357122086588,-0.0085951258033437,0.0468933177022274,0.0,0.0,0.0
Raf,PIP3,indep,0.0049645347397336,0.0049645347397336,0.0080152795517311,0.0468933177022274,0.1875732708089097,0.0,0.0
PIP3,Jnk,indep,-0.0044556158267218,0.0044556158267218,-0.0064727273085971,0.0703399765533411,0.1172332942555685,0.0,0.0
Raf,Erk,indep,0.0041663965359051,0.0041663965359051,0.0058289292306574,0.0703399765533411,0.0234466588511137,0.0,0.0
Mek,PIP2,indep,0.0040913673011261,0.0040913673011261,0.0068934570246541,0.0,0.1406799531066823,0.0,0.0
Mek,PKA,indep,-0.00363717835225,0.00363717835225,-0.0056834000153083,0.0234466588511137,0.0468933177022274,0.0,0.0
Plcg,P38,indep,-0.0032026152434645,0.0032026152434645,-0.0040091626983302,0.0468933177022274,0.0703399765533411,0.0,0.0
PIP2,Jnk,indep,0.002999473006498,0.002999473006498,0.0044377003987307,0.0937866354044548,0.0703399765533411,0.0,0.0
Erk,PKC,indep,0.002988029931036,0.002988029931036,0.0042905358295644,0.0703399765533411,0.0703399765533411,0.0,0.0
PIP2,P38,indep,-0.0015746304890369,0.0015746304890369,-0.0010510185290038,0.0468933177022274,0.0703399765533411,0.0,0.0
Mek,Plcg,indep,0.0012252072104841,0.0012252072104841,0.0028073004904139,0.0234466588511137,0.1172332942555685,0.0,0.0
